epoch;accuracy;loss;val_accuracy;val_loss
0;0.48561564;0.693221534560547;0.453125;0.6921629309654236
1;0.5155351;0.6921225736138461;0.4836065471172333;0.6659058332443237
2;0.578125;0.6821825802326202;0.6639344096183777;0.6616271138191223
3;0.60688835;0.6668084379188238;0.6229507923126221;0.646857738494873
4;0.6421174;0.6368786318118334;0.7131147384643555;0.633224368095398
5;0.6605293;0.6092764825074665;0.7109375;0.5717462301254272
6;0.65822786;0.6156001546440519;0.6803278923034668;0.5738698840141296
7;0.6881473;0.5844038713924904;0.631147563457489;0.6007630825042725
8;0.68239355;0.5797030331076083;0.7049180269241333;0.5574390888214111
9;0.7134637;0.539707785714482;0.6229507923126221;0.6431695222854614
10;0.71806675;0.541093365986959;0.75;0.4264182448387146
11;0.75223213;0.514077657035419;0.7377049326896667;0.37443816661834717
12;0.7479862;0.4937830621545965;0.7459016442298889;0.3813398480415344
13;0.7963176;0.457355465092648;0.7868852615356445;0.45696717500686646
14;0.77553445;0.46215825048308473;0.7868852615356445;0.4579368233680725
15;0.79746836;0.43748036325320827;0.8125;0.3034313917160034
16;0.8113839;0.42315004020929337;0.7786885499954224;0.4511027932167053
17;0.8227848;0.3692994156490124;0.8032786846160889;0.33703333139419556
18;0.8301663;0.36417139553400796;0.8360655903816223;0.24340654909610748
19;0.84695053;0.36386310917049886;0.811475396156311;0.3942856192588806
